Letter reference,Author name,Author API,Author gender,Author DOB,Relation to recipient,Recipient,Recipient API,Recipient gender,Recipient DOB,Relation to author,Change from 2006?,Order of Gardiner letters in file
CELY_108,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_109,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_110,WILLIAM_MARYON,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_111,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_112,WILLIAM_MARYON,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_113,WILLIAM_MARYON,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_114,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_115,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_116,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_117,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_118,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_119,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_120,WILLIAM_DALTON_1,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_121,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_122,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_123,GEORGE_CELY,MERCHANT,MALE,,,JOHN_WESTON,SIR,MALE,1431,,ok,
CELY_124,JOHN_DALTON,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_125,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_126,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_127,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_128,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_129,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_130,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_131,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_132,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_133,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_134,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_135,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_136,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_137,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_138,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_139,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_140,THOMAS_KESTEN,MERCHANT,MALE,,,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_141,MARGERY_CELY[N.PUNT],,FEMALE,,WIFE,GEORGE_CELY,MERCHANT,MALE,,HUSBAND,ok,
CELY_142,WILLIAM_MARYON,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_143,WILLIAM_DALTON_1,MERCHANT,MALE,,,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_144,GEORGE_CELY,MERCHANT,MALE,,,NICHOLAS_BEST,FAMILY_SERVANT,MALE,,,ok,
CELY_145,RICHARD_CELY_JR,MERCHANT,MALE,,BROTHER,GEORGE_CELY,MERCHANT,MALE,,BROTHER,ok,
CELY_146,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_147,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,RICHARD_&_GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_148,WILLIAM_CELY,,MALE,,FAMILY_SERVANT,GEORGE_CELY,MERCHANT,MALE,,,ok,
CELY_149,GEORGE_CELY,MERCHANT,MALE,,SON,RICHARD_CELY_SR,MERCHANT,MALE,,FATHER,ok,
CHAMBER_001,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_002,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_003,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_004,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_005,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_006,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_007,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_008,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_009,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_010,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_011,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_012,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_013,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_014,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_015,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_016,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_017,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_018,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_019,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_020,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_021,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_022,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_023,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_024,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_025,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,DUKE_OF_BUCCLEUCH,MALE,1563,,ok,
CHAMBER_026,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,DUKE_OF_BUCCLEUCH,MALE,1563,,ok,
CHAMBER_027,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_028,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_029,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_030,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_031,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_032,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_033,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_034,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_035,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_036,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_037,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_038,JOHN_CHAMBERLAIN,,MALE,1554,,RALPH_WINWOOD,SIR,MALE,1563,,ok,
CHAMBER_039,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_040,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_041,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_042,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_043,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_044,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_045,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_046,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_047,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_048,JOHN_CHAMBERLAIN,,MALE,1554,,ALICE_CARLETON,,FEMALE,,,ok,
CHAMBER_049,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_050,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_051,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_052,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_053,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_054,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_055,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_056,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_057,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_058,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_059,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_060,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_061,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_062,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_063,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_064,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_065,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_066,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_067,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_068,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_069,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_070,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHAMBER_071,JOHN_CHAMBERLAIN,,MALE,1554,FRIEND,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMNAT(DNB),MALE,1573,FRIEND,ok,
CHARLES_001,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,SON,HENRIETTA_MARIA_STUART,QUEEN_OF_ENGLAND,FEMALE,1609,MOTHER,ok,
CHARLES_002,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,,HENRY_JERMYN,EARL_OF_ST._ALBAN'S/COURTIER/GOVT_OFFICIAL(DNB),MALE,1605?,,ok,
CHARLES_003,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,,HENRY_JERMYN,EARL_OF_ST._ALBAN'S/COURTIER/GOVT_OFFICIAL(DNB),MALE,1605?,,ok,
CHARLES_004,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,,HENRY_JERMYN,EARL_OF_ST._ALBAN'S/COURTIER/GOVT_OFFICIAL(DNB),MALE,1605?,,ok,
CHARLES_005,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,,HENRY_JERMYN,EARL_OF_ST._ALBAN'S/COURTIER/GOVT_OFFICIAL(DNB),MALE,1605?,,ok,
CHARLES_006,CHARLES_STUART_I,KING_OF_ENGLAND,MALE,1600,BROTHER,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,SISTER,ok,
CHARLES_007,OLIVER_CROMWELL,LORD_PROTECTOR,MALE,1599,,EDMUND_BACON_&,SIR,MALE,,,ok,
CHARLES_008,CHARLES_STUART_II,KING_OF_ENGLAND,MALE,1630,,JOHN_MAITLAND,EARL[LATER_DUKE]_OF_LAUDERDALE/LORD_COMMISSIONER,MALE,,,ok,
CHARLES_009,NELL[ELEANOR]_GWYNNE,,FEMALE,1650,,MR_HYDE,,MALE,,,ok,
CLERK_001,WALTER_CLERK,MAYOR_OF_SOUTHAMPTON,MALE,,,WILLIAM_WAINFLEET,BISHOP_OF_WINCHESTER,MALE,1400?,,ok,
CLERK_002,WALTER_CLERK,MAYOR_OF_SOUTHAMPTON,MALE,,,NAMES_UNKNOWN_18,AUDITORS_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_003,RICHARD_GRYME,MAYOR_OF_SOUTHAMPTON,MALE,,,JOHN_INGOLDESBY,RECORDER_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_004,ROBERT_RATCLYF,CONTROLLER_OF_CUSTOMS,MALE,,,JOHN_WILLIAMS_1,MERCHANT,MALE,,,ok,
CLERK_005,THOMAS_FLEMING,SIR/RECORDER_OF_WINCHESTER,MALE,1544,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_006,GARRATT_SWIFT,,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_007,OWYN_HOPTON,SIR,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_008,EDWARD_HAYES,,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_009,MICHAEL_LEEMAN,,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_010,JOHN_THOMS,,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_011,FRANCIS_COTTON,ADMIRAL,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_012,JOHN_WILLIAMS_1,MERCHANT,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLERK_013,JOHN_THOMS,,MALE,,,PETER_STONOR,MAYOR_OF_SOUTHAMPTON,MALE,,,ok,
CLIFFO_001,HENRY_TUDOR_VII,KING_OF_ENGLAND,MALE,1457,,HENRY_CLIFFORD_I,10TH_LORD_CLIFFORD,MALE,1454,,ok,
CLIFFO_002,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_I,10TH_LORD_CLIFFORD,MALE,1454,,ok,
CLIFFO_003,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_I,10TH_LORD_CLIFFORD,MALE,1454,,ok,
CLIFFO_004,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_005,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_006,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_007,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_PERCY_III,6TH_EARL_OF_NORTHUMBERLAND,MALE,1502?,,ok,
CLIFFO_008,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,THOMAS_CLIFFORD,SIR,MALE,1493??,,ok,
CLIFFO_009,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_010,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_011,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_012,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_013,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_014,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_015,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_016,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_017,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_018,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_019,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_020,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_021,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,,ok,
CLIFFO_022,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_III,2ND_EARL_OF_CUMBERLAND,MALE,1517,,ok,
CLIFFO_023,HENRY_TUDOR_VIII,KING_OF_ENGLAND,MALE,1491,,HENRY_CLIFFORD_III,2ND_EARL_OF_CUMBERLAND,MALE,1517,,ok,
CLIFFO_024,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_025,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_026,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_027,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_028,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_029,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_030,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_031,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_032,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_033,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_034,THOMAS_CLIFFORD,SIR,MALE,1493??,BROTHER,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,BROTHER,ok,
CLIFFO_035,HENRY_CLIFFORD_III,2ND_EARL_OF_CUMBERLAND,MALE,1517,SON,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,FATHER,ok,
CLIFFO_036,HENRY_CLIFFORD_III,2ND_EARL_OF_CUMBERLAND,MALE,1517,SON,HENRY_CLIFFORD_II,1ST_EARL_OF_CUMBERLAND,MALE,1493?,FATHER,ok,
